S.No.,Description,Sub Class,Class,Group,Division,Section
969,"Retail sale of household fuel oil, bottled gas, coal and fuel wood",47736,4773,477,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
970,"Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools",47737,4773,477,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
971,Activities of commercial art galleries,47738,4773,477,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
972,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)",47739,4773,477,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
973,Retail sale of second-hand goods,47740,4774,477,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
974,"Retail sale via stalls and markets of food, beverages and tobacco products",47810,4781,478,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
975,"Retail sale via stalls and markets of textiles, clothing and footwear",47820,4782,478,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
976,Retail sale via stalls and markets of other goods,47890,4789,478,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
977,Retail sale via mail order houses,47911,4791,479,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
978,Retail sale via e-commerce,47912,4791,479,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
979,"Other retail sale not in stores, stalls or markets",47990,4799,479,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles
980,Passenger rail transport,49110,4911,491,Land transport and transport via pipelines,Transportation and storage
981,Freight rail transport,49120,4912,491,Land transport and transport via pipelines,Transportation and storage
982,Urban or suburban passenger bus transport (excluding chartered bus),49211,4921,492,Land transport and transport via pipelines,Transportation and storage
983,Urban or suburban tramways,49212,4921,492,Land transport and transport via pipelines,Transportation and storage
984,Urban or suburban underground or elevated rillways,49213,4921,492,Land transport and transport via pipelines,Transportation and storage
985,Other urban or suburban passenger transport n.e.c.,49219,4921,492,Land transport and transport via pipelines,Transportation and storage
986,Long-distance bus services,49221,4922,492,Land transport and transport via pipelines,Transportation and storage
987,"Charters, excursions and other occasional coach services",49222,4922,492,Land transport and transport via pipelines,Transportation and storage
988,Rental of private cars with driver,49223,4922,492,Land transport and transport via pipelines,Transportation and storage
989,Taxi operation,49224,4922,492,Land transport and transport via pipelines,Transportation and storage
990,Operation of school buses and buses for transport of employees,49225,4922,492,Land transport and transport via pipelines,Transportation and storage
991,Passenger transport by man- or animal-drawn vehicles,49226,4922,492,Land transport and transport via pipelines,Transportation and storage
992,Other non urban passenger land transport n.e.c.,49229,4922,492,Land transport and transport via pipelines,Transportation and storage
993,Motorised road freight transport,49231,4923,492,Land transport and transport via pipelines,Transportation and storage
994,Non-motorised road freight transport,49232,4923,492,Land transport and transport via pipelines,Transportation and storage
995,Transport via pipeline,49300,4930,493,Land transport and transport via pipelines,Transportation and storage
996,Sea and coastal ferry service,50111,5011,501,Water transport,Transportation and storage
997,"Sea and coastal water cruise, water taxis and other sight seeing boats",50112,5011,501,Water transport,Transportation and storage
998,Sea and coastal long distance water transport,50113,5011,501,Water transport,Transportation and storage
999,Other sea and coastal water transport n.e.c.,50119,5011,501,Water transport,Transportation and storage
1000,Sea and coastal freight water transport,50120,5012,501,Water transport,Transportation and storage
1001,River ferry service,50211,5021,502,Water transport,Transportation and storage
1002,"River cruise, water taxi, boat services",50212,5021,502,Water transport,Transportation and storage
1003,Long distance river water transport,50213,5021,502,Water transport,Transportation and storage
1004,Other inland water transport n.e.c.,50219,5021,502,Water transport,Transportation and storage
1005,Inland freight water transport,50220,5022,502,Water transport,Transportation and storage
1006,Passenger airways,51101,5110,511,Air transport,Transportation and storage
1007,Helicopter services,51102,5110,511,Air transport,Transportation and storage
1008,Other passenger air-transport n.e.c,51109,5110,511,Air transport,Transportation and storage
1009,Freight air transport services,51201,5120,512,Air transport,Transportation and storage
1010,Launching of satellites and space vehicles and space transport,51202,5120,512,Air transport,Transportation and storage
1011,Warehousing of refrigerated (cold storage),52101,5210,521,Warehousing and support activities for transportation,Transportation and storage
1012,Warehousing non-refrigerated,52102,5210,521,Warehousing and support activities for transportation,Transportation and storage
1013,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",52109,5210,521,Warehousing and support activities for transportation,Transportation and storage
1014,Car parking including motorcycle and bicycle parking,52211,5221,522,Warehousing and support activities for transportation,Transportation and storage
1015,"Support service at railway stations, bus stations, bridges etc.",52212,5221,522,Warehousing and support activities for transportation,Transportation and storage
1016,Switching and shunting,52213,5221,522,Warehousing and support activities for transportation,Transportation and storage
1017,Other land transport services n.e.c,52219,5221,522,Warehousing and support activities for transportation,Transportation and storage
1018,Service activities incidental to water transportation,52220,5222,522,Warehousing and support activities for transportation,Transportation and storage
1019,"Activities related to air transport of passengers, animals or freight",52231,5223,522,Warehousing and support activities for transportation,Transportation and storage
1020,Firefighting and fire-prevention services at airports,52232,5223,522,Warehousing and support activities for transportation,Transportation and storage
1021,Cargo handling incidental to land transport,52241,5224,522,Warehousing and support activities for transportation,Transportation and storage
1022,Cargo handling incidental to water transport,52242,5224,522,Warehousing and support activities for transportation,Transportation and storage
1023,Cargo handling incidental to air transport,52243,5224,522,Warehousing and support activities for transportation,Transportation and storage
1024,Activities of travel agents and tour operators,52291,5229,522,Warehousing and support activities for transportation,Transportation and storage
1025,Activities of shipping cargo agents,52292,5229,522,Warehousing and support activities for transportation,Transportation and storage
1026,Activities of movers and packers,52293,5229,522,Warehousing and support activities for transportation,Transportation and storage
1027,Weighing of goods,52294,5229,522,Warehousing and support activities for transportation,Transportation and storage
1028,Postal activities,53100,5310,531,Postal and courier activities,Transportation and storage
1029,Courier activities,53200,5320,532,Postal and courier activities,Transportation and storage
1030,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",55101,5510,551,Accommodation,Transportation and storage
1031,"Provision of short term lodging facilities to members of a particular organisition such as govt. guest houses, company guest houses, circuit houses and similar establishments",55102,5510,551,Accommodation,Transportation and storage
1032,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)",55109,5510,551,Accommodation,Transportation and storage
1033,"Camping grounds, recreational vehicle parks and trailer parks",55200,5520,552,Accommodation,Transportation and storage
1034,"Accommodation provided by student residences, school dormitories",55901,5590,559,Accommodation,Transportation and storage
1035,Worker hostels and boarding houses,55902,5590,559,Accommodation,Transportation and storage
1036,Restaurants without bars,56101,5610,561,Food and beverage service activities,Transportation and storage
1037,"Cafeterias, fast-food restaurants and other food preparation in market stalls",56102,5610,561,Food and beverage service activities,Transportation and storage
1038,"Ice cream mobile vendors, mobile food carts",56103,5610,561,Food and beverage service activities,Transportation and storage
1039,"Restaurant and bar activities connected to transportation, when carried out by separate units",56104,5610,561,Food and beverage service activities,Transportation and storage
1040,Event catering,56210,5621,562,Food and beverage service activities,Transportation and storage
1041,Activities of food service contractors (e.g. for transportation companies),56291,5629,562,Food and beverage service activities,Transportation and storage
1042,"Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis",56292,5629,562,Food and beverage service activities,Transportation and storage
1043,Bars and Restaurants with bars,56301,5630,563,Food and beverage service activities,Transportation and storage
1044,Tea/coffee shops,56302,5630,563,Food and beverage service activities,Transportation and storage
1045,Fruit juice bars,56303,5630,563,Food and beverage service activities,Transportation and storage
1046,Mobile beverage vendors,56304,5630,563,Food and beverage service activities,Transportation and storage
1047,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)",58111,5811,581,Publishing activities,Information and communication
1048,"Publishing of atlases, maps and charts",58112,5811,581,Publishing activities,Information and communication
1049,Publishing of audio books,58113,5811,581,Publishing activities,Information and communication
1050,Publishing of mailing lists and telephone directories,58121,5812,581,Publishing activities,Information and communication
1051,"Publishing of other directories and compilations, such as case law, pharmaceutical compendia etc.",58122,5812,581,Publishing activities,Information and communication
1052,Publishing of newspapers,58131,5813,581,Publishing activities,Information and communication
1053,Publishing of journals and periodicals,58132,5813,581,Publishing activities,Information and communication
1054,On-line publishing of statistics and other information,58191,5819,581,Publishing activities,Information and communication
1055,Other publishing activities (including on-line) n.e.c.,58199,5819,581,Publishing activities,Information and communication
1056,Publishing of operating systems and system software,58201,5820,582,Publishing activities,Information and communication
1057,Publishing of operating business and other applications,58202,5820,582,Publishing activities,Information and communication
1058,Publishing of computer games for all platforms,58203,5820,582,Publishing activities,Information and communication
1059,Production of motion picture,59111,5911,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1060,Video production,59112,5911,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1061,Production of television programmes or television commercials,59113,5911,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1062,Post production activities of motion picture,59121,5912,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1063,Post production activities of television programmes or television commercials,59122,5912,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1064,Post production activities of video production,59123,5912,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1065,Motion picture distribution,59131,5913,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1066,"Distribution of video tapes, CD and DVDs",59132,5913,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1067,Distribution of television programme,59133,5913,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1068,"Motion picture or video tape projection in cinemas, in the open air or in other projection facilities",59141,5914,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1069,Activities of cine-clubs,59142,5914,591,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1070,Activities of sound recording in studio or elsewhere,59201,5920,592,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1071,Activities of misic publishing,59202,5920,592,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication
1072,Radio broadcasting,60100,6010,601,Programming and broadcasting activities,Information and communication
1073,"Activities of basic telecom services: telephone, telex and telegraph (includes the activities of STD/ISD booths)",61101,6110,611,Telecommunications,Information and communication
1074,Maintenance of telecom network,61102,6110,611,Telecommunications,Information and communication
1075,Activities of the cable operators,61103,6110,611,Telecommunications,Information and communication
1076,Activities of providing internet access by the operator of the wired infrastructure,61104,6110,611,Telecommunications,Information and communication
1077,Activities of Internet access by the operator of the wireless infrastructure,61201,6120,612,Telecommunications,Information and communication
1078,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks",61202,6120,612,Telecommunications,Information and communication
1079,Activities of other wireless telecommunications activities,61209,6120,612,Telecommunications,Information and communication
1080,Activity of Internet access by the operator of the satellite infrastructure,61301,6130,613,Telecommunications,Information and communication
1081,Other satellite telecommunications activities,61309,6130,613,Telecommunications,Information and communication
1082,Other telecommunications activities,61900,6190,619,Telecommunications,Information and communication
1083,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",62011,6201,620,"Computer programming, consultancy and related activities",Information and communication
1084,Web-page designing,62012,6201,620,"Computer programming, consultancy and related activities",Information and communication
1085,Providing software support and maintenance to the clients,62013,6201,620,"Computer programming, consultancy and related activities",Information and communication
1086,Computer consultancy and computer facilities management activities,62020,6202,620,"Computer programming, consultancy and related activities",Information and communication
1087,Software installation,62091,6209,620,"Computer programming, consultancy and related activities",Information and communication
1088,Computer disaster recovery,62092,6209,620,"Computer programming, consultancy and related activities",Information and communication
1089,Other information technology and computer service activities n.e.c,62099,6209,620,"Computer programming, consultancy and related activities",Information and communication
1090,Data processing activities including report writing,63111,6311,631,Information service activities,Information and communication
1091,Web hosting activities,63112,6311,631,Information service activities,Information and communication
1092,Providing general time-share mainframe facilities to clients,63113,6311,631,Information service activities,Information and communication
1093,Providing data entry services,63114,6311,631,Information service activities,Information and communication
1094,"Other data processing, hosting and related activities n.e.c.",63119,6311,631,Information service activities,Information and communication
1095,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format,63121,6312,631,Information service activities,Information and communication
1096,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",63122,6312,631,Information service activities,Information and communication
1097,News agency activities,63910,6391,639,Information service activities,Information and communication
1098,Telephone based information services,63991,6399,639,Information service activities,Information and communication
1099,Activities of cyber caf̩,63992,6399,639,Information service activities,Information and communication
1100,Other information service activities n.e.c.,63999,6399,639,Information service activities,Information and communication
1101,Central banking,64110,6411,641,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1102,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",64191,6419,641,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1103,Activities of specialized institutions granting credit for house purchases that also take deposits,64192,6419,641,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1104,Other monetary intermediation services n.e.c.,64199,6419,641,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1105,Activities of holding companies,64200,6420,642,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1106,"Trusts, funds and other financial vehicles",64300,6430,643,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1107,Financial leasing,64910,6491,649,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1108,Other credit granting,64920,6492,649,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1109,"Other financial service activities, except insurance and pension funding activities, n.e.c.",64990,6499,649,"Financial service activities, except insurance and pension funding",Financial and insurance activities
1110,Reinsurance,65020,6502,650,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities
1111,Life insurance,65110,6511,651,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities
1112,Non-life insurance,65120,6512,651,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities
1113,Pension funding,65300,6530,653,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities
1114,Administration of financial markets,66110,6611,661,Other financial activities,Financial and insurance activities
1115,Security and commodity contracts brokerage,66120,6612,661,Other financial activities,Financial and insurance activities
1116,Activities auxiliary to financial service activities n.e.c.,66190,6619,661,Other financial activities,Financial and insurance activities
1117,Risk and damage evaluation,66210,6621,662,Other financial activities,Financial and insurance activities
1118,Activities of insurance agents and brokers,66220,6622,662,Other financial activities,Financial and insurance activities
1119,Other activities auxiliary to insurance and pension funding,66290,6629,662,Other financial activities,Financial and insurance activities
1120,Management of mutual funds,66301,6630,663,Other financial activities,Financial and insurance activities
1121,Management of pension funds,66302,6630,663,Other financial activities,Financial and insurance activities
1122,Management of other investment funds,66309,6630,663,Other financial activities,Financial and insurance activities
1123,Real estate activities with own or leased property,68100,6810,681,Real estate activities,Real estate activities
1124,Real estate activities on a fee or contract basis,68200,6820,682,Real estate activities,Real estate activities
1125,Legal activities,69100,6910,691,Legal and accounting activities,"Professional, scientific and technical activities"
1126,"Accounting, bookkeeping and auditing activities",69201,6920,692,Legal and accounting activities,"Professional, scientific and technical activities"
1127,Tax consultancy,69202,6920,692,Legal and accounting activities,"Professional, scientific and technical activities"
1128,Activities of head offices,70100,7010,701,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities"
1129,Management consultancy activities,70200,7020,702,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities"
1130,Architectural and engineering activities and related technical consultancy,71100,7110,711,Architecture and engineering activities; technical testing and analysis,"Professional, scientific and technical activities"
1131,Technical testing and analysis,71200,7120,712,Architecture and engineering activities; technical testing and analysis,"Professional, scientific and technical activities"
1132,Research and experimental development on natural sciences and engineering,72100,7210,721,Scientific research and development,"Professional, scientific and technical activities"
1133,Research and experimental development on social sciences and humanities,72200,7220,722,Scientific research and development,"Professional, scientific and technical activities"
1134,Advertising,73100,7310,731,Advertising and market research,"Professional, scientific and technical activities"
1135,Market research and public opinion polling,73200,7320,732,Advertising and market research,"Professional, scientific and technical activities"
1136,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods",74101,7410,741,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1137,Activities of interior decorators,74102,7410,741,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1138,Services of graphic designers,74103,7410,741,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1139,Other specialized design activities n.e.c.,74109,7410,741,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1140,Commercial and consumer photograph production,74201,7420,742,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1141,Photographic film processing,74202,7420,742,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1142,Activities of photojournalists,74203,7420,742,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1143,Microfilming of documents,74204,7420,742,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1144,Other photographic activities,74209,7420,742,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1145,Business brokerage activities,74901,7490,749,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1146,Patent brokerage activities,74902,7490,749,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1147,Weather forecasting activities,74903,7490,749,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1148,Security consulting,74904,7490,749,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1149,"Other professional, scientific and technical activities n.e.c.",74909,7490,749,"Other professional, scientific and technical activities","Professional, scientific and technical activities"
1150,Veterinary activities,75000,7500,750,Veterinary activities,"Professional, scientific and technical activities"
1151,Renting and leasing of motor vehicles,77100,7710,771,Rental and leasing activities,Administrative and support service activities
1152,Renting and leasing of recreational and sports goods,77210,7721,772,Rental and leasing activities,Administrative and support service activities
1153,Renting of video tapes and disks,77220,7722,772,Rental and leasing activities,Administrative and support service activities
1154,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, household electrical and electronic equipments etc.",77291,7729,772,Rental and leasing activities,Administrative and support service activities
1155,"Renting of books, journals and magazines",77292,7729,772,Rental and leasing activities,Administrative and support service activities
1156,"Renting of jewellery, musical instruments, scenery and costumes",77293,7729,772,Rental and leasing activities,Administrative and support service activities
1157,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, household goods",77294,7729,772,Rental and leasing activities,Administrative and support service activities
1158,Renting of other personal and household goods n.e.c.,77299,7729,772,Rental and leasing activities,Administrative and support service activities
1159,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries",77301,7730,773,Rental and leasing activities,Administrative and support service activities
1160,Renting and operational leasing of agricultural and forestry machinery and equipment without operator,77302,7730,773,Rental and leasing activities,Administrative and support service activities
1161,Renting and operational leasing of construction and civil-engineering machinery and equipment without operator,77303,7730,773,Rental and leasing activities,Administrative and support service activities
1162,Renting and operational leasing of office machinery and equipment without operator,77304,7730,773,Rental and leasing activities,Administrative and support service activities
1163,Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers,77305,7730,773,Rental and leasing activities,Administrative and support service activities
1164,Renting and operational leasing of water-transport equipment without operator,77306,7730,773,Rental and leasing activities,Administrative and support service activities
1165,Renting and operational leasing of air transport equipment without operator,77307,7730,773,Rental and leasing activities,Administrative and support service activities
1166,"Renting of other tangible goods with out operator (includes renting of containers, pallets, animals etc.)",77308,7730,773,Rental and leasing activities,Administrative and support service activities
1167,Renting and leasing of other machinery and equipment n.e.c. without operator,77309,7730,773,Rental and leasing activities,Administrative and support service activities
1168,Leasing of nonfinancial intangible assets,77400,7740,774,Rental and leasing activities,Administrative and support service activities
1169,Activities of employment placement agencies,78100,7810,781,Employment activities,Administrative and support service activities
1170,Temporary employment agency activities,78200,7820,782,Employment activities,Administrative and support service activities
1171,Human resources provision and management of human resources functions,78300,7830,783,Employment activities,Administrative and support service activities
1172,Travel agency activities,79110,7911,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1173,Tour operator activities,79120,7912,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1174,Other reservation service and related activities,79900,7990,799,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1175,Private security activities,80100,8010,801,Security and investigation activities,Administrative and support service activities
1176,Security systems service activities,80200,8020,802,Security and investigation activities,Administrative and support service activities
1177,Investigation activities,80300,8030,803,Security and investigation activities,Administrative and support service activities
1178,General cleaning of buildings,81210,8121,812,Services to buildings and landscape activities,Administrative and support service activities
1179,"Cleaning of trains buses, planes etc.",81291,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1180,Cleaning of industrial machinery,81292,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1181,Other building and industrial cleaning activities,81299,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1182,Landscape care and maintenance service activities,81300,8130,813,Services to buildings and landscape activities,Administrative and support service activities
1183,Combined office administrative service activities,82110,8211,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1184,"Photocopying, duplicating and bluprinting services",82191,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1185,"Document preparation, typing, word processing and desktop publishing sevices",82192,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1186,Other specialised office support services activities,82199,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1187,Activities of call centres,82200,8220,822,"Office administrative, office support and other business support activities",Administrative and support service activities
1188,Organization of conventions and trade shows,82300,8230,823,"Office administrative, office support and other business support activities",Administrative and support service activities
1189,Activities of collection agencies and credit bureaus,82910,8291,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1190,Packaging activities,82920,8292,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1191,Other business support service activities n.e.c.,82990,8299,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1192,General public service activities relating to executive,84111,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1193,General public service activities relating to legislation,84112,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1194,General public service activities n.e.c.,84119,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1195,Regulatory agencies relating to health,84121,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1196,Regulatory agencies relating to education,84122,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1197,Regulatory agencies relating to other social services n.e.c. excluding social security,84129,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1198,Regulation of and contribution to more efficient operation of businesses,84130,8413,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1199,Foreign affairs,84210,8421,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1200,Defence activities,84220,8422,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1201,Public order and safety activities,84230,8423,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1202,Compulsory social security activities,84300,8430,843,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1203,Pre-primary education (education preceding the first level),85101,8510,851,Education,Education
1204,Primary education (education at the first level),85102,8510,851,Education,Education
1205,Provision of literacy programmes for adults at primary level,85103,8510,851,Education,Education
1206,Special education for handicapped students at primary lavel,85104,8510,851,Education,Education
1207,Other primary education activities n.e.c.,85109,8510,851,Education,Education
1208,General school education in the first stage of the secondary level (up to X th standard) without any special subject pre-requisite,85211,8521,852,Education,Education
1209,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving, in principle, access to higher education",85212,8521,852,Education,Education
1210,Special education for handicapped students at first stage or second stage of secondary level,85213,8521,852,Education,Education
1211,Technical and vocational education below the level of higher education except for handicapped,85221,85221,85221,Education,Education
1212,Technical and vocational education for handicapped students below the level of higher education,85222,8522,852,Education,Education
1213,Professional motor driving school,85223,8522,852,Education,Education
1214,"Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent",85301,8530,853,Education,Education
1215,Higher education in engineering / other technical courses leading to a university degree or equivalent,85302,8530,853,Education,Education
1216,Higher education in medical/bio-technology and related courses leading to a university degree or equivalent,85303,8530,853,Education,Education
1217,Higher education in management courses leading to a degree or equivalent,85304,8530,853,Education,Education
1218,Higher education in law leading to a degree or equivalent,85305,8530,853,Education,Education
1219,Higher education in other professional/ vocational courses leading to a degree or equivalent,85306,8530,853,Education,Education
1220,Higher education not leading to a degree or equivalent,85307,8530,853,Education,Education
1221,Sports and recreation education,85410,8541,854,Education,Education
1222,Cultural education,85420,8542,854,Education,Education
1223,Academic tutoring services,85491,8549,854,Education,Education
1224,Professional examination review courses,85492,8549,854,Education,Education
1225,Flying school,85493,8549,854,Education,Education
1226,Motor driving school (non-professional),85494,8549,854,Education,Education
1227,Other educational services n.e.c.,85499,8549,854,Education,Education
1228,Educational support services,85500,8550,855,Education,Education
1229,Hospital activities,86100,8610,861,Human health activities,Human health and social work activities
1230,Medical practice activities,86201,8620,862,Human health activities,Human health and social work activities
1231,Dental practice activities,86202,8620,862,Human health activities,Human health and social work activities
1232,Activities of Ayurveda practitioners,86901,8690,869,Human health activities,Human health and social work activities
1233,Activities of Unani practitioners,86902,8690,869,Human health activities,Human health and social work activities
1234,Activities of homeopaths,86903,8690,869,Human health activities,Human health and social work activities
1235,"Activities of nurses, masseures, physiotherapists or other para-medical practitioners",86904,8690,869,Human health activities,Human health and social work activities
1236,Activities of independent diagnostic/pathological laboratories,86905,8690,869,Human health activities,Human health and social work activities
1237,Activities of independent blood banks,86906,8690,869,Human health activities,Human health and social work activities
1238,Other human health activities n.e.c. (including independent ambulance activities),86909,8690,869,Human health activities,Human health and social work activities
1239,Nursing care facilities,87100,8710,871,Residential care activities,Human health and social work activities
1240,"Residential care activities for mental retardation, mental health and substance abuse",87200,8720,872,Residential care activities,Human health and social work activities
1241,Residential care activities for the elderly and disabled,87300,8730,873,Residential care activities,Human health and social work activities
1242,Other residential care activities n.e.c.,87900,8790,879,Residential care activities,Human health and social work activities
1243,Social work activities without accommodation for the elderly and disabled,88100,8810,881,Social work activities without accommodation,Human health and social work activities
1244,Other social work activities without accommodation n.e.c.,88900,8890,889,Social work activities without accommodation,Human health and social work activities
1245,Stage production and related activities,90001,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1246,Operation of concert and theatre halls and other arts facilities,90002,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1247,"Activities of sculptors, painters, cartoonists, engravers, etchers etc.",90003,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1248,"Activities of individual writers, for all subjects including fictional writing, technical writing etc.",90004,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1249,Activities of independent journalists,90005,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1250,Activities of restoring of works of art such as paintings etc.,90006,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1251,Other creative arts and and entertainment activities,90009,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1252,Library and archives activities,91010,9101,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1253,Museums activities and operation of historical sites and buildings,91020,9102,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1254,Botanical and zoological gardens and nature reserves activities,91030,9103,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1255,Wholesale of lottery tickets,92001,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1256,Retail sale of lottery tickets,92002,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1257,Other gambling and betting activities,92009,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1258,Operation of sports facilities,93110,9311,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
